time(s),keff(-),power(W),flux0,flux1(m-2s-1),TFuel_Max,Avg,Min,TCladding_Max,Avg,Min,TCoolant_Max,Avg,Min(K)
220.3012615,1.00346,1.0544e+07,5.1528e+06,5.3911e+06,1261.9,811.28,601,719.69,650.08,600.19,690.46,629.99,600.02
220.8012615,1.00346,1.0544e+07,5.1529e+06,5.3913e+06,1261.9,811.29,601,719.7,650.08,600.19,690.47,629.99,600.02
221.3012615,1.00346,1.0544e+07,5.153e+06,5.3914e+06,1261.9,811.3,601,719.7,650.09,600.19,690.48,630,600.02
221.8012615,1.00346,1.0545e+07,5.1531e+06,5.3915e+06,1262,811.31,601,719.71,650.09,600.19,690.48,630,600.02
222.3012615,1.00346,1.0545e+07,5.1532e+06,5.3916e+06,1262,811.31,601,719.72,650.09,600.19,690.49,630,600.02
222.8012615,1.00346,1.0545e+07,5.1533e+06,5.3917e+06,1262,811.32,601,719.72,650.09,600.19,690.5,630,600.02
223.3012615,1.00346,1.0545e+07,5.1533e+06,5.3918e+06,1262,811.33,601,719.72,650.09,600.19,690.51,630,600.02
223.8012615,1.00346,1.0545e+07,5.1534e+06,5.3918e+06,1262,811.33,601,719.73,650.1,600.19,690.51,630,600.02
224.3012615,1.00346,1.0545e+07,5.1535e+06,5.3919e+06,1262,811.34,601,719.73,650.1,600.19,690.52,630,600.02
224.8012615,1.00346,1.0546e+07,5.1536e+06,5.392e+06,1262,811.35,601,719.74,650.1,600.19,690.52,630,600.02
225.3012615,1.00346,1.0546e+07,5.1537e+06,5.3921e+06,1262.1,811.35,601,719.74,650.1,600.19,690.53,630.01,600.02
225.8012615,1.00346,1.0546e+07,5.1538e+06,5.3922e+06,1262.1,811.36,601,719.75,650.1,600.19,690.54,630.01,600.02
226.3012615,1.00346,1.0546e+07,5.1539e+06,5.3923e+06,1262.1,811.36,601,719.75,650.1,600.19,690.54,630.01,600.02
226.8012615,1.00346,1.0546e+07,5.154e+06,5.3924e+06,1262.1,811.37,601,719.75,650.11,600.19,690.54,630.01,600.02
227.3012615,1.00346,1.0547e+07,5.154e+06,5.3925e+06,1262.1,811.37,601,719.76,650.11,600.19,690.55,630.01,600.02
227.8012615,1.00346,1.0547e+07,5.1541e+06,5.3926e+06,1262.1,811.38,601,719.76,650.11,600.19,690.55,630.01,600.02
228.3012615,1.00346,1.0547e+07,5.1542e+06,5.3926e+06,1262.1,811.38,601,719.76,650.11,600.19,690.56,630.01,600.02
228.8012615,1.00346,1.0547e+07,5.1543e+06,5.3927e+06,1262.2,811.39,601,719.77,650.11,600.19,690.56,630.01,600.02
229.3012615,1.00346,1.0547e+07,5.1544e+06,5.3928e+06,1262.2,811.39,601,719.77,650.11,600.19,690.56,630.01,600.02
229.8012615,1.00346,1.0547e+07,5.1544e+06,5.3929e+06,1262.2,811.4,601,719.77,650.11,600.19,690.57,630.01,600.02
230.3012615,1.00346,1.0547e+07,5.1545e+06,5.393e+06,1262.2,811.4,601,719.77,650.12,600.19,690.57,630.01,600.02
230.8012615,1.00346,1.0548e+07,5.1546e+06,5.393e+06,1262.2,811.41,601,719.78,650.12,600.19,690.57,630.02,600.02
231.3012615,1.00346,1.0548e+07,5.1547e+06,5.3931e+06,1262.2,811.41,601,719.78,650.12,600.19,690.58,630.02,600.02
231.8012615,1.00346,1.0548e+07,5.1547e+06,5.3932e+06,1262.2,811.42,601,719.78,650.12,600.19,690.58,630.02,600.02
232.3012615,1.00346,1.0548e+07,5.1548e+06,5.3933e+06,1262.2,811.42,601,719.78,650.12,600.19,690.58,630.02,600.02
232.8012615,1.00346,1.0548e+07,5.1549e+06,5.3933e+06,1262.3,811.42,601,719.79,650.12,600.19,690.59,630.02,600.02
233.3012615,1.00346,1.0548e+07,5.1549e+06,5.3934e+06,1262.3,811.43,601,719.79,650.12,600.19,690.59,630.02,600.02
233.8012615,1.00346,1.0548e+07,5.155e+06,5.3935e+06,1262.3,811.43,601,719.79,650.12,600.19,690.59,630.02,600.02
234.3012615,1.00346,1.0549e+07,5.1551e+06,5.3936e+06,1262.3,811.44,601,719.79,650.12,600.19,690.59,630.02,600.02
234.8012615,1.00346,1.0549e+07,5.1551e+06,5.3936e+06,1262.3,811.44,601,719.8,650.12,600.19,690.59,630.02,600.02
235.3012615,1.00346,1.0549e+07,5.1552e+06,5.3937e+06,1262.3,811.44,601,719.8,650.13,600.19,690.6,630.02,600.02
235.8012615,1.00346,1.0549e+07,5.1553e+06,5.3938e+06,1262.3,811.45,601,719.8,650.13,600.19,690.6,630.02,600.02
236.3012615,1.00346,1.0549e+07,5.1553e+06,5.3938e+06,1262.3,811.45,601,719.8,650.13,600.19,690.6,630.02,600.02
236.8012615,1.00346,1.0549e+07,5.1554e+06,5.3939e+06,1262.3,811.45,601,719.8,650.13,600.19,690.6,630.02,600.02
237.3012615,1.00346,1.0549e+07,5.1554e+06,5.3939e+06,1262.3,811.46,601,719.81,650.13,600.19,690.61,630.02,600.02
237.8012615,1.00346,1.055e+07,5.1555e+06,5.394e+06,1262.4,811.46,601,719.81,650.13,600.19,690.61,630.02,600.02
238.3012615,1.00346,1.055e+07,5.1556e+06,5.3941e+06,1262.4,811.46,601,719.81,650.13,600.19,690.61,630.02,600.02
238.8012615,1.00346,1.055e+07,5.1556e+06,5.3941e+06,1262.4,811.47,601,719.81,650.13,600.19,690.61,630.02,600.02
239.3012615,1.00346,1.055e+07,5.1557e+06,5.3942e+06,1262.4,811.47,601,719.81,650.13,600.19,690.61,630.03,600.02
239.8012615,1.00346,1.055e+07,5.1557e+06,5.3943e+06,1262.4,811.47,601,719.82,650.13,600.19,690.61,630.03,600.02
240.3012615,1.00346,1.055e+07,5.1558e+06,5.3943e+06,1262.4,811.48,601,719.82,650.13,600.19,690.62,630.03,600.02
240.8012615,1.00346,1.055e+07,5.1559e+06,5.3944e+06,1262.4,811.48,601,719.82,650.13,600.19,690.62,630.03,600.02
241.3012615,1.00346,1.055e+07,5.1559e+06,5.3944e+06,1262.4,811.48,601,719.82,650.14,600.19,690.62,630.03,600.02
241.8012615,1.00346,1.055e+07,5.156e+06,5.3945e+06,1262.4,811.49,601,719.82,650.14,600.19,690.62,630.03,600.02
242.3012615,1.00346,1.0551e+07,5.156e+06,5.3945e+06,1262.4,811.49,601,719.82,650.14,600.19,690.62,630.03,600.02
242.8012615,1.00346,1.0551e+07,5.1561e+06,5.3946e+06,1262.4,811.49,601,719.83,650.14,600.19,690.62,630.03,600.02
243.3012615,1.00346,1.0551e+07,5.1561e+06,5.3946e+06,1262.4,811.49,601,719.83,650.14,600.19,690.62,630.03,600.02
243.8012615,1.00346,1.0551e+07,5.1562e+06,5.3947e+06,1262.5,811.5,601,719.83,650.14,600.19,690.63,630.03,600.02
244.3012615,1.00346,1.0551e+07,5.1562e+06,5.3948e+06,1262.5,811.5,601,719.83,650.14,600.19,690.63,630.03,600.02
244.8012615,1.00346,1.0551e+07,5.1563e+06,5.3948e+06,1262.5,811.5,601,719.83,650.14,600.19,690.63,630.03,600.02
245.3012615,1.00346,1.0551e+07,5.1563e+06,5.3949e+06,1262.5,811.5,601,719.83,650.14,600.19,690.63,630.03,600.02
245.8012615,1.00346,1.0551e+07,5.1564e+06,5.3949e+06,1262.5,811.51,601,719.83,650.14,600.19,690.63,630.03,600.02
246.3012615,1.00346,1.0551e+07,5.1564e+06,5.395e+06,1262.5,811.51,601,719.84,650.14,600.19,690.63,630.03,600.02
246.8012615,1.00346,1.0551e+07,5.1565e+06,5.395e+06,1262.5,811.51,601,719.84,650.14,600.19,690.63,630.03,600.02
247.3012615,1.00346,1.0552e+07,5.1565e+06,5.3951e+06,1262.5,811.51,601,719.84,650.14,600.19,690.63,630.03,600.02
247.8012615,1.00346,1.0552e+07,5.1565e+06,5.3951e+06,1262.5,811.52,601,719.84,650.14,600.19,690.64,630.03,600.02
248.3012615,1.00346,1.0552e+07,5.1566e+06,5.3951e+06,1262.5,811.52,601,719.84,650.14,600.19,690.64,630.03,600.02
248.8012615,1.00346,1.0552e+07,5.1566e+06,5.3952e+06,1262.5,811.52,601,719.84,650.14,600.19,690.64,630.03,600.02
249.3012615,1.00346,1.0552e+07,5.1567e+06,5.3952e+06,1262.5,811.52,601,719.84,650.15,600.19,690.64,630.03,600.02
249.8012615,1.00346,1.0552e+07,5.1567e+06,5.3953e+06,1262.5,811.53,601,719.85,650.15,600.19,690.64,630.03,600.02
250.3012615,1.00346,1.0552e+07,5.1568e+06,5.3953e+06,1262.6,811.53,601,719.85,650.15,600.19,690.64,630.03,600.02
250.8012615,1.00346,1.0552e+07,5.1568e+06,5.3954e+06,1262.6,811.53,601,719.85,650.15,600.19,690.64,630.03,600.02
251.3012615,1.00346,1.0552e+07,5.1568e+06,5.3954e+06,1262.6,811.53,601,719.85,650.15,600.19,690.64,630.03,600.02
251.8012615,1.00346,1.0552e+07,5.1569e+06,5.3955e+06,1262.6,811.53,601,719.85,650.15,600.19,690.64,630.03,600.02
252.3012615,1.00346,1.0552e+07,5.1569e+06,5.3955e+06,1262.6,811.54,601,719.85,650.15,600.19,690.65,630.03,600.02
252.8012615,1.00346,1.0553e+07,5.157e+06,5.3955e+06,1262.6,811.54,601,719.85,650.15,600.19,690.65,630.04,600.02
253.3012615,1.00346,1.0553e+07,5.157e+06,5.3956e+06,1262.6,811.54,601,719.85,650.15,600.19,690.65,630.04,600.02
253.8012615,1.00346,1.0553e+07,5.157e+06,5.3956e+06,1262.6,811.54,601,719.86,650.15,600.19,690.65,630.04,600.02
254.3012615,1.00346,1.0553e+07,5.1571e+06,5.3957e+06,1262.6,811.54,601,719.86,650.15,600.19,690.65,630.04,600.02
254.8012615,1.00346,1.0553e+07,5.1571e+06,5.3957e+06,1262.6,811.55,601,719.86,650.15,600.19,690.65,630.04,600.02
255.3012615,1.00346,1.0553e+07,5.1572e+06,5.3957e+06,1262.6,811.55,601,719.86,650.15,600.19,690.65,630.04,600.02
255.8012615,1.00346,1.0553e+07,5.1572e+06,5.3958e+06,1262.6,811.55,601,719.86,650.15,600.19,690.65,630.04,600.02
256.3012615,1.00346,1.0553e+07,5.1572e+06,5.3958e+06,1262.6,811.55,601,719.86,650.15,600.19,690.65,630.04,600.02
256.8012615,1.00346,1.0553e+07,5.1573e+06,5.3959e+06,1262.6,811.55,601,719.86,650.15,600.19,690.65,630.04,600.02
257.3012615,1.00346,1.0553e+07,5.1573e+06,5.3959e+06,1262.6,811.55,601,719.86,650.15,600.19,690.65,630.04,600.02
257.8012615,1.00346,1.0553e+07,5.1573e+06,5.3959e+06,1262.6,811.56,601,719.86,650.15,600.19,690.66,630.04,600.02
258.3012615,1.00346,1.0553e+07,5.1574e+06,5.396e+06,1262.6,811.56,601,719.87,650.15,600.19,690.66,630.04,600.02
258.8012615,1.00346,1.0553e+07,5.1574e+06,5.396e+06,1262.7,811.56,601,719.87,650.15,600.19,690.66,630.04,600.02
259.3012615,1.00346,1.0553e+07,5.1574e+06,5.396e+06,1262.7,811.56,601,719.87,650.15,600.19,690.66,630.04,600.02
259.8012615,1.00346,1.0554e+07,5.1575e+06,5.3961e+06,1262.7,811.56,601,719.87,650.15,600.19,690.66,630.04,600.02
260.3012615,1.00346,1.0554e+07,5.1575e+06,5.3961e+06,1262.7,811.56,601,719.87,650.16,600.19,690.66,630.04,600.02
260.8012615,1.00346,1.0554e+07,5.1575e+06,5.3961e+06,1262.7,811.57,601,719.87,650.16,600.19,690.66,630.04,600.02
261.3012615,1.00346,1.0554e+07,5.1576e+06,5.3962e+06,1262.7,811.57,601,719.87,650.16,600.19,690.66,630.04,600.02
261.8012615,1.00346,1.0554e+07,5.1576e+06,5.3962e+06,1262.7,811.57,601,719.87,650.16,600.19,690.66,630.04,600.02
262.3012615,1.00346,1.0554e+07,5.1576e+06,5.3962e+06,1262.7,811.57,601,719.87,650.16,600.19,690.66,630.04,600.02
262.8012615,1.00346,1.0554e+07,5.1577e+06,5.3963e+06,1262.7,811.57,601,719.87,650.16,600.19,690.66,630.04,600.02
263.3012615,1.00346,1.0554e+07,5.1577e+06,5.3963e+06,1262.7,811.57,601,719.87,650.16,600.19,690.66,630.04,600.02
